datetime,close,high,low,open,vol,amount,ma5,ma10,ma20,ma30,ma60
2017-04-06 10:00:00,3270.68,3273.06,3270.52,3273.06,769020.0,7690203136.0,3271.71,3269.81,3267.45,3264.42,3254.19
2017-04-06 10:05:00,3268.77,3270.85,3267.46,3270.85,743994.64,7439949824.0,3271.31,3269.95,3267.76,3264.8,3255.04
2017-04-06 10:10:00,3269.32,3270.08,3268.68,3268.73,603930.32,6039306240.0,3271.04,3270.21,3267.96,3265.19,3255.89
2017-04-06 10:15:00,3268.56,3270.38,3268.56,3269.81,581028.8,5810290688.0,3270.05,3270.3,3268.01,3265.56,3256.71
2017-04-06 10:20:00,3266.63,3268.86,3265.8,3268.23,576841.04,5768413184.0,3268.79,3269.93,3268.1,3265.87,3257.45
2017-04-06 10:25:00,3269.23,3269.87,3266.25,3266.25,570352.16,5703524352.0,3268.5,3270.11,3268.39,3266.29,3258.25
2017-04-06 10:30:00,3268.0,3269.66,3267.09,3269.63,499099.76,4991000576.0,3268.35,3269.83,3268.6,3266.63,3259.01
2017-04-06 10:35:00,3267.32,3267.76,3265.9,3267.04,446367.04,4463673344.0,3267.95,3269.49,3268.75,3266.95,3259.51
2017-04-06 10:40:00,3269.69,3270.04,3266.6,3267.55,447653.16,4476534784.0,3268.17,3269.11,3268.92,3267.28,3260.0
2017-04-06 10:45:00,3272.26,3272.54,3270.16,3270.21,460432.68,4604329984.0,3269.3,3269.05,3269.24,3267.68,3260.61
2017-04-06 10:50:00,3272.64,3272.94,3270.86,3272.37,443694.0,4436942848.0,3269.98,3269.24,3269.53,3268.05,3261.27
2017-04-06 10:55:00,3273.03,3273.97,3271.62,3271.62,373827.68,3738279936.0,3270.99,3269.67,3269.81,3268.4,3261.87
2017-04-06 11:00:00,3273.04,3273.46,3271.41,3272.83,347077.56,3470778368.0,3272.13,3270.04,3270.13,3268.65,3262.44
2017-04-06 11:05:00,3274.25,3275.26,3272.29,3273.11,392358.8,3923591168.0,3273.04,3270.61,3270.45,3268.88,3263.01
2017-04-06 11:10:00,3276.63,3277.0,3273.88,3274.2,482543.68,4825440256.0,3273.92,3271.61,3270.77,3269.27,3263.52
2017-04-06 11:15:00,3276.84,3278.95,3276.11,3276.24,584413.68,5844140032.0,3274.76,3272.37,3271.24,3269.71,3264.02
2017-04-06 11:20:00,3275.24,3276.84,3274.19,3276.52,465744.4,4657446912.0,3275.2,3273.09,3271.46,3270.1,3264.42
2017-04-06 11:25:00,3274.71,3275.97,3274.37,3275.11,404764.72,4047650816.0,3275.53,3273.83,3271.66,3270.44,3264.75
2017-04-06 11:30:00,3273.76,3274.73,3272.9,3274.17,392389.92,3923902464.0,3275.44,3274.24,3271.68,3270.69,3265.09
2017-04-06 13:05:00,3274.15,3275.94,3273.75,3274.24,352670.24,3526705152.0,3274.94,3274.43,3271.74,3270.97,3265.45
2017-04-06 13:10:00,3274.33,3275.34,3273.79,3274.28,271567.8,2715680768.0,3274.44,3274.6,3271.92,3271.22,3265.78
2017-04-06 13:15:00,3276.54,3277.43,3273.92,3274.72,290248.84,2902491136.0,3274.7,3274.95,3272.31,3271.52,3266.13
2017-04-06 13:20:00,3279.21,3279.55,3276.59,3276.59,383504.92,3835052032.0,3275.6,3275.57,3272.8,3271.94,3266.47
2017-04-06 13:25:00,3278.33,3280.23,3278.33,3279.07,384913.92,3849142272.0,3276.51,3275.97,3273.29,3272.29,3266.81
2017-04-06 13:30:00,3279.33,3279.7,3277.79,3278.99,370301.04,3703013376.0,3277.55,3276.24,3273.93,3272.6,3267.12
2017-04-06 13:35:00,3282.15,3283.49,3279.04,3279.04,474822.84,4748230656.0,3279.11,3276.77,3274.57,3273.08,3267.47
2017-04-06 13:40:00,3281.78,3283.96,3281.13,3282.53,492322.48,4923228160.0,3280.16,3277.43,3275.26,3273.45,3267.88
2017-04-06 13:45:00,3281.37,3282.09,3280.83,3281.84,380162.6,3801628672.0,3280.59,3278.09,3275.96,3273.81,3268.31
2017-04-06 13:50:00,3281.95,3283.01,3280.93,3281.54,396045.2,3960455168.0,3281.32,3278.91,3276.58,3274.09,3268.73
2017-04-06 13:55:00,3286.13,3286.33,3281.56,3282.0,575905.44,5759057920.0,3282.68,3280.11,3277.27,3274.53,3269.24
2017-04-06 14:00:00,3283.43,3286.62,3282.83,3285.82,586166.8,5861670912.0,3282.93,3281.02,3277.81,3274.95,3269.69
2017-04-06 14:05:00,3281.4,3283.33,3281.35,3282.48,477814.48,4778147840.0,3282.86,3281.51,3278.23,3275.37,3270.09
2017-04-06 14:10:00,3281.0,3282.38,3280.61,3281.75,420309.92,4203102208.0,3282.78,3281.69,3278.63,3275.76,3270.48
2017-04-06 14:15:00,3278.09,3281.22,3277.07,3281.22,530285.92,5302861824.0,3282.01,3281.66,3278.82,3276.08,3270.82
2017-04-06 14:20:00,3280.13,3280.56,3277.22,3277.33,405210.48,4052107264.0,3280.81,3281.74,3278.99,3276.53,3271.2
2017-04-06 14:25:00,3280.09,3280.57,3279.23,3280.1,345279.36,3452796928.0,3280.14,3281.54,3279.16,3276.89,3271.59
2017-04-06 14:30:00,3281.96,3282.45,3279.9,3280.28,370635.32,3706355712.0,3280.25,3281.55,3279.49,3277.36,3272.0
2017-04-06 14:35:00,3282.02,3283.54,3281.85,3282.15,415928.88,4159291392.0,3280.46,3281.62,3279.86,3277.85,3272.4
2017-04-06 14:40:00,3280.65,3282.81,3280.6,3282.38,454772.04,4547723264.0,3280.97,3281.49,3280.2,3278.21,3272.75
2017-04-06 14:45:00,3278.55,3280.94,3277.96,3280.56,529168.48,5291687936.0,3280.65,3280.73,3280.42,3278.42,3273.05
2017-04-06 14:50:00,3277.86,3278.67,3277.46,3278.41,553900.12,5539004416.0,3280.21,3280.17,3280.6,3278.6,3273.32
2017-04-06 14:55:00,3278.98,3279.7,3277.48,3277.77,713293.6,7132938240.0,3279.61,3279.93,3280.72,3278.8,3273.6
2017-04-06 15:00:00,3281.0,3281.6,3278.22,3279.52,948084.4,9480847360.0,3279.41,3279.93,3280.81,3279.06,3273.86
2017-04-07 09:35:00,3279.89,3280.62,3276.62,3280.62,1759021.76,17590220800.0,3279.26,3280.11,3280.89,3279.25,3274.06
2017-04-07 09:40:00,3279.23,3280.75,3278.72,3279.27,1061291.36,10612916224.0,3279.39,3280.02,3280.88,3279.34,3274.3
2017-04-07 09:45:00,3283.7,3283.88,3279.23,3279.65,1002798.64,10027988992.0,3280.56,3280.38,3280.96,3279.57,3274.64
2017-04-07 09:50:00,3281.95,3284.38,3281.95,3284.38,930510.96,9305112576.0,3281.15,3280.38,3280.97,3279.79,3274.94
2017-04-07 09:55:00,3283.18,3284.09,3281.73,3281.96,869215.6,8692158464.0,3281.59,3280.5,3281.06,3280.07,3275.26
2017-04-07 10:00:00,3280.9,3284.21,3280.9,3283.36,867005.36,8670056448.0,3281.79,3280.52,3281.01,3280.31,3275.5
2017-04-07 10:05:00,3276.59,3280.86,3276.44,3280.86,870874.4,8708747264.0,3281.26,3280.33,3280.53,3280.39,3275.68
2017-04-07 10:10:00,3275.44,3277.34,3275.39,3276.96,737460.0,7374602240.0,3279.61,3280.09,3280.13,3280.43,3275.82
2017-04-07 10:15:00,3278.42,3279.28,3275.16,3276.03,710167.44,7101677568.0,3278.91,3280.03,3279.98,3280.49,3276.01
2017-04-07 10:20:00,3280.49,3280.83,3278.54,3278.75,560322.64,5603229696.0,3278.37,3279.98,3279.96,3280.53,3276.24
2017-04-07 10:25:00,3282.87,3283.07,3280.3,3280.3,531281.24,5312815104.0,3278.76,3280.28,3280.19,3280.68,3276.49
2017-04-07 10:30:00,3283.72,3283.73,3282.14,3282.86,492750.12,4927504384.0,3280.19,3280.73,3280.37,3280.83,3276.71
2017-04-07 10:35:00,3282.07,3284.44,3281.49,3283.45,427345.2,4273455104.0,3281.51,3280.56,3280.47,3280.83,3276.96
2017-04-07 10:40:00,3281.97,3282.94,3281.37,3281.99,442655.28,4426555392.0,3282.22,3280.56,3280.47,3280.83,3277.14
2017-04-07 10:45:00,3280.61,3282.5,3280.61,3282.39,458765.6,4587659264.0,3282.25,3280.31,3280.4,3280.81,3277.31
2017-04-07 10:50:00,3278.3,3281.31,3277.66,3280.61,559927.88,5599281152.0,3281.33,3280.05,3280.29,3280.69,3277.39
2017-04-07 10:55:00,3280.33,3281.06,3278.15,3278.31,418463.44,4184637440.0,3280.66,3280.42,3280.37,3280.49,3277.51
2017-04-07 11:00:00,3281.98,3282.44,3280.38,3281.05,372660.4,3726606336.0,3280.64,3281.08,3280.58,3280.45,3277.7
